Location,Role,VendorID,InvoiceValue,Resource,StartTimestamp,EndTimestamp,CaseId,ActivityName
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,2022-07-28 09:23:50.502475,2022-07-28 17:59:05.502475,0,Invoice Entry
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,2022-07-28 17:59:05.502475,2022-07-29 00:43:19.302475,0,Check Customer Payment
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,2022-07-29 09:43:19.302475,2022-07-29 15:04:04.902475,0,Credit Memo Entry
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,2022-07-29 15:04:04.902475,2022-07-29 20:49:00.102475,0,Refund Customer
"San Diego, USA",Invoice Processor,Vendor2,729.27,Casey,2022-08-01 09:49:00.102475,2022-08-01 18:08:30.702475,0,Re-issuing the invoice
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,2022-07-21 09:43:01.043627,2022-07-21 12:05:24.443627,1,Invoice Entry
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,2022-07-21 12:05:24.443627,2022-07-21 13:54:26.243627,1,Check Customer Payment
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,2022-07-21 13:54:26.243627,2022-07-21 15:44:38.843627,1,Credit Memo Entry
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,2022-07-21 15:44:38.843627,2022-07-21 17:51:44.243627,1,Refund Customer
"San Francisco, USA",Invoice Processor,Vendor2,2499.1,Aiden,2022-07-21 17:51:44.243627,2022-07-21 19:05:53.843627,1,Re-issuing the invoice
"San Diego, USA",Invoice Processor,Vendor2,624.12,Casey,2022-07-19 10:03:03.767156,2022-07-19 19:12:49.367156,2,Invoice Entry
"San Diego, USA",Invoice Processor,Vendor2,624.12,Casey,2022-07-20 09:12:49.367156,2022-07-20 14:47:47.567156,2,Confirm Payment Received
"San Diego, USA",Invoice Processor,Vendor2,624.12,Casey,2022-07-20 14:47:47.567156,2022-07-21 15:15:56.567156,2,Refund With Special Voucher
"San Diego, USA",Invoice Approver,Vendor2,624.12,Jessie,2022-07-21 15:15:56.567156,2022-07-21 23:35:21.767156,2,Complete the Customer Memo
"San Diego, USA",Invoice Approver,Vendor2,624.12,Jessie,2022-07-22 09:35:21.767156,2022-07-22 17:05:44.567156,2,Approve Invoice
"San Diego, USA",Invoice Processor,Vendor2,624.12,Casey,2022-07-22 17:05:44.567156,2022-07-22 23:44:07.367156,2,Credit Memo Creation
"San Diego, USA",Invoice Processor,Vendor2,624.12,Casey,2022-07-25 09:44:07.367156,2022-07-25 15:59:49.367156,2,Fill Credit Memo
"San Diego, USA",Invoice Processor,Vendor2,624.12,Casey,2022-07-25 15:59:49.367156,2022-07-25 22:57:42.167156,2,Re-issuing the invoice
"San Francisco, USA",Invoice Processor,Vendor3,3960.7,Aiden,2022-08-22 09:12:15.861311,2022-08-22 10:42:50.661311,3,Invoice Entry
"San Francisco, USA",Invoice Processor,Vendor3,3960.7,Aiden,2022-08-22 10:42:50.661311,2022-08-22 12:11:44.061311,3,Confirm Payment Received
"San Francisco, USA",Invoice Processor,Vendor3,3960.7,Aiden,2022-08-22 12:11:44.061311,2022-08-22 13:36:21.861311,3,Refund With Standard Voucher
"San Francisco, USA",Invoice Approver,Vendor3,3960.7,Jackie,2022-08-22 13:36:21.861311,2022-08-22 18:17:14.061311,3,Complete the Customer Memo
"San Francisco, USA",Invoice Approver,Vendor3,3960.7,Jackie,2022-08-23 09:17:14.061311,2022-08-23 12:35:54.261311,3,Reject Invoice
"San Francisco, USA",Invoice Processor,Vendor3,3960.7,Aiden,2022-08-23 12:35:54.261311,2022-08-23 13:48:59.061311,3,Refund With Standard Voucher
